country,sex,age_group,year,population_000
afg,m,adult,2017,6319.921875
afg,f,total,2017,9458.404296875
afg,f,youth,2017,3587.592041015625
afg,f,adult,2017,5870.81201171875
afg,mf,total,2018,20276.388671875
afg,mf,youth,2018,7652.19921875
afg,mf,adult,2018,12624.1904296875
afg,m,total,2018,10485.6103515625
afg,m,youth,2018,3945.31591796875
afg,m,adult,2018,6540.2939453125
afg,f,total,2018,9790.7783203125
afg,f,youth,2018,3706.883056640625
afg,f,adult,2018,6083.89599609375
afg,mf,total,2019,20969.30078125
afg,mf,youth,2019,7888.91796875
afg,mf,adult,2019,13080.3828125
afg,m,total,2019,10836.359375
afg,m,youth,2019,4065.366943359375
afg,m,adult,2019,6770.9921875
afg,f,total,2019,10132.94140625
afg,f,youth,2019,3823.551025390625
afg,f,adult,2019,6309.39111328125
afg,mf,total,2020,21695.283203125
afg,mf,youth,2020,8124.52783203125
afg,mf,adult,2020,13570.755859375
afg,m,total,2020,11203.54296875
afg,m,youth,2020,4184.83203125
afg,m,adult,2020,7018.7109375
afg,f,total,2020,10491.740234375
afg,f,youth,2020,3939.696044921875
afg,f,adult,2020,6552.044921875
alb,mf,total,1991,2200.68896484375
alb,mf,youth,1991,606.3270263671875
alb,mf,adult,1991,1594.362060546875
alb,m,total,1991,1112.9119873046875
alb,m,youth,1991,307.8900146484375
alb,m,adult,1991,805.02197265625
alb,f,total,1991,1087.7769775390625
alb,f,youth,1991,298.43701171875
alb,f,adult,1991,789.3400268554688
alb,mf,total,1992,2175.9140625
alb,mf,youth,1992,587.6619873046875
alb,mf,adult,1992,1588.251953125
alb,m,total,1992,1086.6510009765625
alb,m,youth,1992,295.0419921875
alb,m,adult,1992,791.6090087890625
alb,f,total,1992,1089.2630615234375
alb,f,youth,1992,292.6199951171875
alb,f,adult,1992,796.6430053710938
alb,mf,total,1993,2143.01806640625
alb,mf,youth,1993,571.573974609375
alb,mf,adult,1993,1571.4439697265625
alb,m,total,1993,1055.532958984375
alb,m,youth,1993,284.093994140625
alb,m,adult,1993,771.4390258789062
alb,f,total,1993,1087.485107421875
alb,f,youth,1993,287.4800109863281
alb,f,adult,1993,800.0050048828125
alb,mf,total,1994,2112.7041015625
alb,mf,youth,1994,560.5020141601562
alb,mf,adult,1994,1552.2020263671875
alb,m,total,1994,1028.0250244140625
alb,m,youth,1994,277.0480041503906
alb,m,adult,1994,750.9769897460938
alb,f,total,1994,1084.6790771484375
alb,f,youth,1994,283.4540100097656
alb,f,adult,1994,801.2249755859375
alb,mf,total,1995,2092.22998046875
alb,mf,youth,1995,555.7440185546875
alb,mf,adult,1995,1536.4859619140625
alb,m,total,1995,1009.77099609375
alb,m,youth,1995,275.0060119628906
alb,m,adult,1995,734.7650146484375
alb,f,total,1995,1082.458984375
alb,f,youth,1995,280.7380065917969
alb,f,adult,1995,801.7210083007812
