country,sex,age_group,year,employment_to_population_ratio
alb,mf,youth,2011,27.223691940307617
alb,mf,adult,2011,51.26637268066406
alb,m,total,2011,54.33827209472656
alb,m,youth,2011,31.22383689880371
alb,m,adult,2011,62.00567626953125
alb,f,total,2011,36.864418029785156
alb,f,youth,2011,22.78203773498535
alb,f,adult,2011,40.91819381713867
alb,mf,total,2012,45.1130485534668
alb,mf,youth,2012,25.524145126342773
alb,mf,adult,2012,51.130916595458984
alb,m,total,2012,53.20091247558594
alb,m,youth,2012,28.994873046875
alb,m,adult,2012,61.15388870239258
alb,f,total,2012,37.118770599365234
alb,f,youth,2012,21.717374801635742
alb,f,adult,2012,41.53547668457031
alb,mf,total,2013,43.2486686706543
alb,mf,youth,2013,24.49417495727539
alb,mf,adult,2013,48.935367584228516
alb,m,total,2013,50.78622055053711
alb,m,youth,2013,28.82816505432129
alb,m,adult,2013,57.88639831542969
alb,f,total,2013,35.86948013305664
alb,f,youth,2013,19.808155059814453
alb,f,adult,2013,40.43236541748047
alb,mf,total,2014,41.5677490234375
alb,mf,youth,2014,22.62894630432129
alb,mf,adult,2014,47.19974136352539
alb,m,total,2014,49.110294342041016
alb,m,youth,2014,26.94532585144043
alb,m,adult,2014,56.12484359741211
alb,f,total,2014,34.24934768676758
alb,f,youth,2014,18.01844596862793
alb,f,adult,2014,38.783878326416016
alb,mf,total,2015,41.60848617553711
alb,mf,youth,2015,22.867752075195312
alb,mf,adult,2015,47.037498474121094
alb,m,total,2015,49.42277908325195
alb,m,youth,2015,27.212779998779297
alb,m,adult,2015,56.26657485961914
alb,f,total,2015,34.07789611816406
alb,f,youth,2015,18.260446548461914
alb,f,adult,2015,38.38650894165039
alb,mf,total,2016,41.740455627441406
alb,mf,youth,2016,23.178714752197266
alb,mf,adult,2016,46.92866134643555
alb,m,total,2016,49.79658889770508
alb,m,youth,2016,27.565908432006836
alb,m,adult,2016,56.39934539794922
alb,f,total,2016,34.00306701660156
alb,f,youth,2016,18.546960830688477
alb,f,adult,2016,38.070220947265625
alb,mf,total,2017,41.9048957824707
alb,mf,youth,2017,23.515029907226562
alb,mf,adult,2017,46.82162857055664
alb,m,total,2017,50.16667938232422
alb,m,youth,2017,27.93539810180664
alb,m,adult,2017,56.48192596435547
alb,f,total,2017,33.97952651977539
alb,f,youth,2017,18.850460052490234
alb,f,adult,2017,37.78804397583008
alb,mf,total,2018,42.07582473754883
alb,mf,youth,2018,23.841564178466797
alb,mf,adult,2018,46.70499801635742
alb,m,total,2018,50.51000213623047
alb,m,youth,2018,28.281105041503906
alb,m,adult,2018,56.510101318359375
alb,f,total,2018,33.98317337036133
alb,f,youth,2018,19.145355224609375
alb,f,adult,2018,37.52714538574219
alb,mf,total,2019,42.220314025878906
alb,mf,youth,2019,24.11145782470703
alb,mf,adult,2019,46.56290817260742
alb,m,total,2019,50.79545211791992
alb,m,youth,2019,28.556034088134766
alb,m,adult,2019,56.47209930419922
alb,f,total,2019,33.988399505615234
alb,f,youth,2019,19.39341926574707
alb,f,adult,2019,37.27709197998047
alb,mf,total,2020,42.32339096069336
alb,mf,youth,2020,24.302080154418945
alb,mf,adult,2020,46.39141845703125
alb,m,total,2020,51.012569427490234
alb,m,youth,2020,28.74246597290039
alb,m,adult,2020,56.370277404785156
alb,f,total,2020,33.982513427734375
alb,f,youth,2020,19.573122024536133
alb,f,adult,2020,37.03464126586914
dza,mf,total,1991,33.95571517944336
dza,mf,youth,1991,20.616117477416992
dza,mf,adult,1991,41.5084342956543
dza,m,total,1991,61.4285888671875
dza,m,youth,1991,36.4160041809082
dza,m,adult,1991,75.87206268310547
dza,f,total,1991,6.124080181121826
dza,f,youth,1991,4.198402404785156
dza,f,adult,1991,7.192721843719482
dza,mf,total,1992,33.263633728027344
dza,mf,youth,1992,20.8566837310791
dza,mf,adult,1992,40.25091552734375
dza,m,total,1992,60.11866760253906
dza,m,youth,1992,36.3835563659668
dza,m,adult,1992,73.71281433105469
dza,f,total,1992,6.036909580230713
dza,f,youth,1992,4.768646717071533
dza,f,adult,1992,6.739009857177734
dza,mf,total,1993,33.50413513183594
dza,mf,youth,1993,21.59208869934082
dza,mf,adult,1993,40.182350158691406
dza,m,total,1993,60.41864013671875
dza,m,youth,1993,37.507266998291016
dza,m,adult,1993,73.4532470703125
dza,f,total,1993,6.199882984161377
dza,f,youth,1993,5.1370530128479
dza,f,adult,1993,6.786891937255859
dza,mf,total,1994,33.30220413208008
dza,mf,youth,1994,21.876323699951172
dza,mf,adult,1994,39.679927825927734
dza,m,total,1994,60.070491790771484
dza,m,youth,1994,37.96814727783203
dza,m,adult,1994,72.5710678100586
dza,f,total,1994,6.129593849182129
dza,f,youth,1994,5.260461330413818
dza,f,adult,1994,6.608263969421387
dza,mf,total,1995,32.07072067260742
dza,mf,youth,1995,20.48468780517578
dza,mf,adult,1995,38.50701904296875
dza,m,total,1995,58.341270446777344
dza,m,youth,1995,36.279850006103516
dza,m,adult,1995,70.74749755859375
dza,f,total,1995,5.385430335998535
dza,f,youth,1995,4.183659076690674
dza,f,adult,1995,6.044776916503906
dza,mf,total,1996,32.029388427734375
dza,mf,youth,1996,20.881301879882812
dza,mf,adult,1996,38.16810989379883
dza,m,total,1996,58.43235778808594
dza,m,youth,1996,37.208099365234375
dza,m,adult,1996,70.25997161865234
dza,f,total,1996,5.181839466094971
dza,f,youth,1996,4.019249439239502
dza,f,adult,1996,5.814268589019775
dza,mf,total,1997,33.22673797607422
dza,mf,youth,1997,22.157426834106445
dza,mf,adult,1997,39.270565032958984
dza,m,total,1997,59.75605773925781
dza,m,youth,1997,38.554996490478516
dza,m,adult,1997,71.46688842773438
dza,f,total,1997,6.22407865524292
dza,f,youth,1997,5.212198257446289
dza,f,adult,1997,6.770054817199707
dza,mf,total,1998,32.978248596191406
dza,mf,youth,1998,21.535825729370117
dza,mf,adult,1998,39.170997619628906
dza,m,total,1998,59.25940704345703
dza,m,youth,1998,37.693302154541016
dza,m,adult,1998,71.06272888183594
dza,f,total,1998,6.205667018890381
dza,f,youth,1998,4.832424163818359
dza,f,adult,1998,6.94041633605957
dza,mf,total,1999,32.697689056396484
dza,mf,youth,1999,20.89714813232422
dza,mf,adult,1999,39.01975631713867
dza,m,total,1999,58.739830017089844
dza,m,youth,1999,36.83392333984375
dza,m,adult,1999,70.60299682617188
dza,f,total,1999,6.153519630432129
dza,f,youth,1999,4.420853614807129
dza,f,adult,1999,7.071606636047363
dza,mf,total,2000,30.572811126708984
dza,mf,youth,2000,17.601118087768555
dza,mf,adult,2000,37.43711471557617
dza,m,total,2000,55.472957611083984
dza,m,youth,2000,32.03498077392578
dza,m,adult,2000,68.00521087646484
dza,f,total,2000,5.18757963180542
dza,f,youth,2000,2.682560682296753
dza,f,adult,2000,6.499172210693359
dza,mf,total,2001,31.466712951660156
dza,mf,youth,2001,18.642459869384766
dza,mf,adult,2001,38.15558624267578
dza,m,total,2001,56.684059143066406
dza,m,youth,2001,33.54021453857422
dza,m,adult,2001,68.89925384521484
dza,f,total,2001,5.7819390296936035
dza,f,youth,2001,3.227794885635376
dza,f,adult,2001,7.098095893859863
dza,mf,total,2002,31.895998001098633
dza,mf,youth,2002,18.683961868286133
dza,mf,adult,2002,38.67137908935547
dza,m,total,2002,56.898738861083984
dza,m,youth,2002,33.22953796386719
dza,m,adult,2002,69.1999282836914
dza,f,total,2002,6.4582929611206055
dza,f,youth,2002,3.6188442707061768
dza,f,adult,2002,7.894681453704834
dza,mf,total,2003,32.68267059326172
dza,mf,youth,2003,19.193283081054688
dza,mf,adult,2003,39.464778900146484
dza,m,total,2003,57.640724182128906
dza,m,youth,2003,33.666194915771484
dza,m,adult,2003,69.87458801269531
dza,f,total,2003,7.322403907775879
dza,f,youth,2003,4.190825462341309
dza,f,adult,2003,8.873211860656738
dza,mf,total,2004,34.07759094238281
dza,mf,youth,2004,19.220687866210938
dza,mf,adult,2004,41.37805938720703
