country,sex,age_group,year,employment_thousands
dza,mf,youth,1994,1320.1904296875
dza,mf,adult,1994,4289.9990234375
dza,m,total,1994,5097.75537109375
dza,m,youth,1994,1164.004638671875
dza,m,adult,1994,3933.75048828125
dza,f,total,1994,512.4347534179688
dza,f,youth,1994,156.18577575683594
dza,f,adult,1994,356.24896240234375
dza,mf,total,1995,5590.0400390625
dza,mf,youth,1995,1275.147216796875
dza,mf,adult,1995,4314.8935546875
dza,m,total,1995,5124.36669921875
dza,m,youth,1995,1146.985595703125
dza,m,adult,1995,3977.380859375
dza,f,total,1995,465.673828125
dza,f,youth,1995,128.1615753173828
dza,f,adult,1995,337.5122375488281
dza,mf,total,1996,5769.900390625
dza,mf,youth,1996,1335.79736328125
dza,mf,adult,1996,4434.1025390625
dza,m,total,1996,5307.05859375
dza,m,youth,1996,1209.3131103515625
dza,m,adult,1996,4097.74560546875
dza,f,total,1996,462.841796875
dza,f,youth,1996,126.48432922363281
dza,f,adult,1996,336.35748291015625
dza,mf,total,1997,6187.0244140625
dza,mf,youth,1997,1457.1221923828125
dza,mf,adult,1997,4729.90185546875
dza,m,total,1997,5612.6669921875
dza,m,youth,1997,1288.55419921875
dza,m,adult,1997,4324.11328125
dza,f,total,1997,574.3571166992188
dza,f,youth,1997,168.56796264648438
dza,f,adult,1997,405.7890930175781
dza,mf,total,1998,6346.115234375
dza,mf,youth,1998,1455.2774658203125
dza,mf,adult,1998,4890.83740234375
dza,m,total,1998,5754.556640625
dza,m,youth,1998,1294.715087890625
dza,m,adult,1998,4459.841796875
dza,f,total,1998,591.5580444335938
dza,f,youth,1998,160.56231689453125
dza,f,adult,1998,430.9957580566406
dza,mf,total,1999,6497.361328125
dza,mf,youth,1999,1448.589111328125
dza,mf,adult,1999,5048.77197265625
dza,m,total,1999,5891.814453125
dza,m,youth,1999,1297.9129638671875
dza,m,adult,1999,4593.90185546875
dza,f,total,1999,605.5465698242188
dza,f,youth,1999,150.67616271972656
dza,f,adult,1999,454.8704528808594
dza,mf,total,2000,6266.2880859375
dza,mf,youth,2000,1248.4111328125
dza,mf,adult,2000,5017.876953125
dza,m,total,2000,5739.78564453125
dza,m,youth,2000,1154.847900390625
dza,m,adult,2000,4584.93798828125
dza,f,total,2000,526.501953125
dza,f,youth,2000,93.56331634521484
dza,f,adult,2000,432.9386291503906
dza,mf,total,2001,6653.36279296875
dza,mf,youth,2001,1351.197998046875
dza,mf,adult,2001,5302.1650390625
dza,m,total,2001,6047.70556640625
dza,m,youth,2001,1236.21826171875
dza,m,adult,2001,4811.48779296875
dza,f,total,2001,605.6572265625
dza,f,youth,2001,114.97989654541016
dza,f,adult,2001,490.6773986816406
dza,mf,total,2002,6944.02294921875
dza,mf,youth,2002,1378.8626708984375
dza,mf,adult,2002,5565.16015625
dza,m,total,2002,6247.0732421875
dza,m,youth,2002,1247.6715087890625
dza,m,adult,2002,4999.40185546875
dza,f,total,2002,696.9495849609375
dza,f,youth,2002,131.19110107421875
dza,f,adult,2002,565.7584228515625
dza,mf,total,2003,7315.8779296875
dza,mf,youth,2003,1437.3974609375
dza,mf,adult,2003,5878.48046875
dza,m,total,2003,6502.88427734375
dza,m,youth,2003,1283.2900390625
dza,m,adult,2003,5219.59423828125
dza,f,total,2003,812.9935302734375
dza,f,youth,2003,154.10751342773438
dza,f,adult,2003,658.885986328125
dza,mf,total,2004,7835.587890625
dza,mf,youth,2004,1456.143310546875
dza,mf,adult,2004,6379.44482421875
dza,m,total,2004,6721.4970703125
dza,m,youth,2004,1239.5467529296875
dza,m,adult,2004,5481.9501953125
dza,f,total,2004,1114.09130859375
dza,f,youth,2004,216.5966033935547
dza,f,adult,2004,897.4947509765625
dza,mf,total,2005,8492.0654296875
dza,mf,youth,2005,1679.8681640625
dza,mf,adult,2005,6812.197265625
dza,m,total,2005,7396.16015625
dza,m,youth,2005,1489.282958984375
dza,m,adult,2005,5906.876953125
dza,f,total,2005,1095.9052734375
dza,f,youth,2005,190.58502197265625
dza,f,adult,2005,905.3203735351562
dza,mf,total,2006,8975.275390625
dza,mf,youth,2006,1800.951904296875
dza,mf,adult,2006,7174.32373046875
dza,m,total,2006,7738.5576171875
dza,m,youth,2006,1579.126953125
dza,m,adult,2006,6159.4306640625
dza,f,total,2006,1236.718017578125
dza,f,youth,2006,221.824951171875
dza,f,adult,2006,1014.8930053710938
dza,mf,total,2007,8994.3125
dza,mf,youth,2007,1620.6943359375
dza,mf,adult,2007,7373.619140625
dza,m,total,2007,7733.1689453125
dza,m,youth,2007,1439.789794921875
dza,m,adult,2007,6293.37939453125
dza,f,total,2007,1261.143798828125
dza,f,youth,2007,180.90435791015625
dza,f,adult,2007,1080.239501953125
dza,mf,total,2008,9428.271484375
dza,mf,youth,2008,1684.2139892578125
dza,mf,adult,2008,7744.05712890625
dza,m,total,2008,8023.646484375
dza,m,youth,2008,1484.325439453125
dza,m,adult,2008,6539.32080078125
dza,f,total,2008,1404.625
dza,f,youth,2008,199.88861083984375
dza,f,adult,2008,1204.736328125
dza,mf,total,2009,9724.01171875
